count,enttype,category,description,data,data_fields,source_value,target_concept_id
1,372,Diagnostic Tests,Scoring test result,RECENT,4,372-Diagnostic Tests-Scoring test result-RECENT,0
3,372,Diagnostic Tests,Scoring test result,REAX,4,372-Diagnostic Tests-Scoring test result-REAX,
1,372,Diagnostic Tests,Scoring test result,REASSURE.,4,372-Diagnostic Tests-Scoring test result-REASSURE.,0
1,372,Diagnostic Tests,Scoring test result,RCP3,4,372-Diagnostic Tests-Scoring test result-RCP3,0
2719,372,Diagnostic Tests,Scoring test result,RCP QUESTIONS,4,372-Diagnostic Tests-Scoring test result-RCP QUESTIONS,0
14,372,Diagnostic Tests,Scoring test result,RCP,4,372-Diagnostic Tests-Scoring test result-RCP,0
1,372,Diagnostic Tests,Scoring test result,RCA,4,372-Diagnostic Tests-Scoring test result-RCA,0
1,372,Diagnostic Tests,Scoring test result,RATIO,4,372-Diagnostic Tests-Scoring test result-RATIO,0
1,372,Diagnostic Tests,Scoring test result,RATING,4,372-Diagnostic Tests-Scoring test result-RATING,0
1,372,Diagnostic Tests,Scoring test result,RAST,4,372-Diagnostic Tests-Scoring test result-RAST,0
1,372,Diagnostic Tests,Scoring test result,QUWSTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUWSTIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUSTIONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUSTIONNAIRE,0
3,372,Diagnostic Tests,Scoring test result,QUSTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUSTIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUSTIIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUSTIIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QURISK,4,372-Diagnostic Tests-Scoring test result-QURISK,0
1,372,Diagnostic Tests,Scoring test result,QUISK2,4,372-Diagnostic Tests-Scoring test result-QUISK2,0
1,372,Diagnostic Tests,Scoring test result,QUIRSK2,4,372-Diagnostic Tests-Scoring test result-QUIRSK2,0
1,372,Diagnostic Tests,Scoring test result,QUIRSK,4,372-Diagnostic Tests-Scoring test result-QUIRSK,0
1,372,Diagnostic Tests,Scoring test result,QUIRK,4,372-Diagnostic Tests-Scoring test result-QUIRK,0
1,372,Diagnostic Tests,Scoring test result,QUIESTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUIESTIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUIESTINAIRE,4,372-Diagnostic Tests-Scoring test result-QUIESTINAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUEWSTIONNAIR,4,372-Diagnostic Tests-Scoring test result-QUEWSTIONNAIR,0
1,372,Diagnostic Tests,Scoring test result,QUETSIONS,4,372-Diagnostic Tests-Scoring test result-QUETSIONS,0
3,372,Diagnostic Tests,Scoring test result,QUETIONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUETIONNAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUETIONARE,4,372-Diagnostic Tests-Scoring test result-QUETIONARE,0
4,372,Diagnostic Tests,Scoring test result,QUETIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUETIONAIRE,0
2,372,Diagnostic Tests,Scoring test result,QUETION,4,372-Diagnostic Tests-Scoring test result-QUETION,0
2,372,Diagnostic Tests,Scoring test result,QUESTTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTTIONAIRE,0
3,372,Diagnostic Tests,Scoring test result,QUESTONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTONNAIRE,0
5,372,Diagnostic Tests,Scoring test result,QUESTONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTONAIRE,0
12,372,Diagnostic Tests,Scoring test result,QUESTOINNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTOINNAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTOINAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTOINAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONSPOSS,4,372-Diagnostic Tests-Scoring test result-QUESTIONSPOSS,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONSAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONSAIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONS/DIS,4,372-Diagnostic Tests-Scoring test result-QUESTIONS/DIS,0
4,372,Diagnostic Tests,Scoring test result,QUESTIONS.,4,372-Diagnostic Tests-Scoring test result-QUESTIONS.,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONS ASK,4,372-Diagnostic Tests-Scoring test result-QUESTIONS ASK,0
93044,372,Diagnostic Tests,Scoring test result,QUESTIONS,4,372-Diagnostic Tests-Scoring test result-QUESTIONS,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONNING,4,372-Diagnostic Tests-Scoring test result-QUESTIONNING,0
4,372,Diagnostic Tests,Scoring test result,QUESTIONNIARE,4,372-Diagnostic Tests-Scoring test result-QUESTIONNIARE,0
9,372,Diagnostic Tests,Scoring test result,QUESTIONNARE,4,372-Diagnostic Tests-Scoring test result-QUESTIONNARE,0
3675,372,Diagnostic Tests,Scoring test result,QUESTIONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONNAIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONNAIR,4,372-Diagnostic Tests-Scoring test result-QUESTIONNAIR,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONNAI,4,372-Diagnostic Tests-Scoring test result-QUESTIONNAI,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONNA,4,372-Diagnostic Tests-Scoring test result-QUESTIONNA,0
3,372,Diagnostic Tests,Scoring test result,QUESTIONN,4,372-Diagnostic Tests-Scoring test result-QUESTIONN,0
11,372,Diagnostic Tests,Scoring test result,QUESTIONIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONIRE,0
5,372,Diagnostic Tests,Scoring test result,QUESTIONING,4,372-Diagnostic Tests-Scoring test result-QUESTIONING,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONIERRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONIERRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONIARE,4,372-Diagnostic Tests-Scoring test result-QUESTIONIARE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONIAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONIAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONERE,4,372-Diagnostic Tests-Scoring test result-QUESTIONERE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONED,4,372-Diagnostic Tests-Scoring test result-QUESTIONED,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONARRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONARRE,0
11,372,Diagnostic Tests,Scoring test result,QUESTIONARIE,4,372-Diagnostic Tests-Scoring test result-QUESTIONARIE,0
12,372,Diagnostic Tests,Scoring test result,QUESTIONARE,4,372-Diagnostic Tests-Scoring test result-QUESTIONARE,0
4,372,Diagnostic Tests,Scoring test result,QUESTIONANIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONANIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONAITRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAITRE,0
65,372,Diagnostic Tests,Scoring test result,QUESTIONAIRRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIRRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONAIREE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIREE,0
1196,372,Diagnostic Tests,Scoring test result,QUESTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONAIR,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIR,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONAIIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONAIE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONAIARE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAIARE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIONAAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIONAAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIONA,4,372-Diagnostic Tests-Scoring test result-QUESTIONA,0
1,372,Diagnostic Tests,Scoring test result,QUESTION.,4,372-Diagnostic Tests-Scoring test result-QUESTION.,0
1,372,Diagnostic Tests,Scoring test result,QUESTION FORM,4,372-Diagnostic Tests-Scoring test result-QUESTION FORM,0
1,372,Diagnostic Tests,Scoring test result,QUESTION 1,4,372-Diagnostic Tests-Scoring test result-QUESTION 1,0
258,372,Diagnostic Tests,Scoring test result,QUESTION,4,372-Diagnostic Tests-Scoring test result-QUESTION,0
1,372,Diagnostic Tests,Scoring test result,QUESTIOMS,4,372-Diagnostic Tests-Scoring test result-QUESTIOMS,0
1,372,Diagnostic Tests,Scoring test result,QUESTIOINAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIOINAIRE,0
12,372,Diagnostic Tests,Scoring test result,QUESTIOANIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIOANIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIOAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIOAIRE,0
3,372,Diagnostic Tests,Scoring test result,QUESTIO,4,372-Diagnostic Tests-Scoring test result-QUESTIO,0
7,372,Diagnostic Tests,Scoring test result,QUESTINNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTINNAIRE,0
6,372,Diagnostic Tests,Scoring test result,QUESTINAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTINAIRE,0
2,372,Diagnostic Tests,Scoring test result,QUESTIIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTIAIRE,4,372-Diagnostic Tests-Scoring test result-QUESTIAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESTI,4,372-Diagnostic Tests-Scoring test result-QUESTI,0
21,372,Diagnostic Tests,Scoring test result,QUEST,4,372-Diagnostic Tests-Scoring test result-QUEST,0
3,372,Diagnostic Tests,Scoring test result,QUESSTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESSTIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESSIONARRE,4,372-Diagnostic Tests-Scoring test result-QUESSIONARRE,0
1,372,Diagnostic Tests,Scoring test result,QUESSIONARE F,4,372-Diagnostic Tests-Scoring test result-QUESSIONARE F,0
1,372,Diagnostic Tests,Scoring test result,QUESSIONAARE,4,372-Diagnostic Tests-Scoring test result-QUESSIONAARE,0
1,372,Diagnostic Tests,Scoring test result,QUESITONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESITONNAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESITONAIRRE,4,372-Diagnostic Tests-Scoring test result-QUESITONAIRRE,0
1,372,Diagnostic Tests,Scoring test result,QUESITIONS,4,372-Diagnostic Tests-Scoring test result-QUESITIONS,0
3,372,Diagnostic Tests,Scoring test result,QUESIONNAIRE,4,372-Diagnostic Tests-Scoring test result-QUESIONNAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESION,4,372-Diagnostic Tests-Scoring test result-QUESION,0
2,372,Diagnostic Tests,Scoring test result,QUESATIONAIRE,4,372-Diagnostic Tests-Scoring test result-QUESATIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QUESATINAIRE,4,372-Diagnostic Tests-Scoring test result-QUESATINAIRE,0
3,372,Diagnostic Tests,Scoring test result,QUES,4,372-Diagnostic Tests-Scoring test result-QUES,0
1,372,Diagnostic Tests,Scoring test result,QUERY,4,372-Diagnostic Tests-Scoring test result-QUERY,0
1,372,Diagnostic Tests,Scoring test result,QUEATIONS,4,372-Diagnostic Tests-Scoring test result-QUEATIONS,0
1,372,Diagnostic Tests,Scoring test result,QUEATINAIE,4,372-Diagnostic Tests-Scoring test result-QUEATINAIE,0
1,372,Diagnostic Tests,Scoring test result,QUE,4,372-Diagnostic Tests-Scoring test result-QUE,0
1,372,Diagnostic Tests,Scoring test result,QUDIT C,4,372-Diagnostic Tests-Scoring test result-QUDIT C,0
1,372,Diagnostic Tests,Scoring test result,QUANTITITAIVE,4,372-Diagnostic Tests-Scoring test result-QUANTITITAIVE,0
1,372,Diagnostic Tests,Scoring test result,QUANTITIAVE,4,372-Diagnostic Tests-Scoring test result-QUANTITIAVE,0
17,372,Diagnostic Tests,Scoring test result,QUANTITIATIVE,4,372-Diagnostic Tests-Scoring test result-QUANTITIATIVE,0
2,372,Diagnostic Tests,Scoring test result,QUANTITIAIVE,4,372-Diagnostic Tests-Scoring test result-QUANTITIAIVE,0
1,372,Diagnostic Tests,Scoring test result,QUANTITATVE,4,372-Diagnostic Tests-Scoring test result-QUANTITATVE,0
147,372,Diagnostic Tests,Scoring test result,QUANTITATIVE,4,372-Diagnostic Tests-Scoring test result-QUANTITATIVE,0
5,372,Diagnostic Tests,Scoring test result,QUANTITAIVE,4,372-Diagnostic Tests-Scoring test result-QUANTITAIVE,0
2,372,Diagnostic Tests,Scoring test result,QUANTATIVE,4,372-Diagnostic Tests-Scoring test result-QUANTATIVE,0
1,372,Diagnostic Tests,Scoring test result,QUANTATATIVE,4,372-Diagnostic Tests-Scoring test result-QUANTATATIVE,0
1,372,Diagnostic Tests,Scoring test result,QUALTITATIVE,4,372-Diagnostic Tests-Scoring test result-QUALTITATIVE,0
1,372,Diagnostic Tests,Scoring test result,QUALTITAIVE,4,372-Diagnostic Tests-Scoring test result-QUALTITAIVE,0
2,372,Diagnostic Tests,Scoring test result,QUALITIATIVE,4,372-Diagnostic Tests-Scoring test result-QUALITIATIVE,0
168,372,Diagnostic Tests,Scoring test result,QUALITATIVE,4,372-Diagnostic Tests-Scoring test result-QUALITATIVE,0
1,372,Diagnostic Tests,Scoring test result,QUALITATAVE,4,372-Diagnostic Tests-Scoring test result-QUALITATAVE,0
1,372,Diagnostic Tests,Scoring test result,QU7ESTION,4,372-Diagnostic Tests-Scoring test result-QU7ESTION,0
8,372,Diagnostic Tests,Scoring test result,QU,4,372-Diagnostic Tests-Scoring test result-QU,0
13,372,Diagnostic Tests,Scoring test result,QS,4,372-Diagnostic Tests-Scoring test result-QS,0
1,372,Diagnostic Tests,Scoring test result,QRUSK2,4,372-Diagnostic Tests-Scoring test result-QRUSK2,0
2,372,Diagnostic Tests,Scoring test result,QRSK2,4,372-Diagnostic Tests-Scoring test result-QRSK2,0
1,372,Diagnostic Tests,Scoring test result,QRSIK2 2015,4,372-Diagnostic Tests-Scoring test result-QRSIK2 2015,0
4,372,Diagnostic Tests,Scoring test result,QRSIK2,4,372-Diagnostic Tests-Scoring test result-QRSIK2,0
1,372,Diagnostic Tests,Scoring test result,QRSIK 2,4,372-Diagnostic Tests-Scoring test result-QRSIK 2,0
4,372,Diagnostic Tests,Scoring test result,QRISKS,4,372-Diagnostic Tests-Scoring test result-QRISKS,0
1,372,Diagnostic Tests,Scoring test result,QRISK3 WEBSIT,4,372-Diagnostic Tests-Scoring test result-QRISK3 WEBSIT,0
1,372,Diagnostic Tests,Scoring test result,QRISK3 (2018),4,372-Diagnostic Tests-Scoring test result-QRISK3 (2018),0
27,372,Diagnostic Tests,Scoring test result,QRISK3,4,372-Diagnostic Tests-Scoring test result-QRISK3,0
5,372,Diagnostic Tests,Scoring test result,QRISK2WEBSITE,4,372-Diagnostic Tests-Scoring test result-QRISK2WEBSITE,0
1,372,Diagnostic Tests,Scoring test result,QRISK2SCORE,4,372-Diagnostic Tests-Scoring test result-QRISK2SCORE,0
1,372,Diagnostic Tests,Scoring test result,QRISK2CVD,4,372-Diagnostic Tests-Scoring test result-QRISK2CVD,0
1,372,Diagnostic Tests,Scoring test result,QRISK2016,4,372-Diagnostic Tests-Scoring test result-QRISK2016,0
1,372,Diagnostic Tests,Scoring test result,QRISK2-2017,4,372-Diagnostic Tests-Scoring test result-QRISK2-2017,0
2,372,Diagnostic Tests,Scoring test result,QRISK2-2015,4,372-Diagnostic Tests-Scoring test result-QRISK2-2015,0
1,372,Diagnostic Tests,Scoring test result,QRISK2-2014,4,372-Diagnostic Tests-Scoring test result-QRISK2-2014,0
1,372,Diagnostic Tests,Scoring test result,QRISK2-2013,4,372-Diagnostic Tests-Scoring test result-QRISK2-2013,0
1,372,Diagnostic Tests,Scoring test result,QRISK2-2011,4,372-Diagnostic Tests-Scoring test result-QRISK2-2011,0
2,372,Diagnostic Tests,Scoring test result,QRISK2 WEBSIT,4,372-Diagnostic Tests-Scoring test result-QRISK2 WEBSIT,0
2,372,Diagnostic Tests,Scoring test result,QRISK2 WEB,4,372-Diagnostic Tests-Scoring test result-QRISK2 WEB,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 TOOL,4,372-Diagnostic Tests-Scoring test result-QRISK2 TOOL,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 ESTIMA,4,372-Diagnostic Tests-Scoring test result-QRISK2 ESTIMA,0
2,372,Diagnostic Tests,Scoring test result,QRISK2 CVD,4,372-Diagnostic Tests-Scoring test result-QRISK2 CVD,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 ASSIGN,4,372-Diagnostic Tests-Scoring test result-QRISK2 ASSIGN,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 2017,4,372-Diagnostic Tests-Scoring test result-QRISK2 2017,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 2016,4,372-Diagnostic Tests-Scoring test result-QRISK2 2016,0
4,372,Diagnostic Tests,Scoring test result,QRISK2 2015,4,372-Diagnostic Tests-Scoring test result-QRISK2 2015,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 2014,4,372-Diagnostic Tests-Scoring test result-QRISK2 2014,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 2013,4,372-Diagnostic Tests-Scoring test result-QRISK2 2013,0
2,372,Diagnostic Tests,Scoring test result,QRISK2 / QINT,4,372-Diagnostic Tests-Scoring test result-QRISK2 / QINT,0
1,372,Diagnostic Tests,Scoring test result,QRISK2 - 2016,4,372-Diagnostic Tests-Scoring test result-QRISK2 - 2016,0
879846,372,Diagnostic Tests,Scoring test result,QRISK2,4,372-Diagnostic Tests-Scoring test result-QRISK2,37397449
1,372,Diagnostic Tests,Scoring test result,QRISK.ORG '16,4,372-Diagnostic Tests-Scoring test result-QRISK.ORG '16,0
10,372,Diagnostic Tests,Scoring test result,QRISK.ORG,4,372-Diagnostic Tests-Scoring test result-QRISK.ORG,0
1,372,Diagnostic Tests,Scoring test result,QRISK.,4,372-Diagnostic Tests-Scoring test result-QRISK.,0
1,372,Diagnostic Tests,Scoring test result,QRISK-3,4,372-Diagnostic Tests-Scoring test result-QRISK-3,
1,372,Diagnostic Tests,Scoring test result,QRISK-2-2012,4,372-Diagnostic Tests-Scoring test result-QRISK-2-2012,0
5,372,Diagnostic Tests,Scoring test result,QRISK-2,4,372-Diagnostic Tests-Scoring test result-QRISK-2,0
1,372,Diagnostic Tests,Scoring test result,QRISK',4,372-Diagnostic Tests-Scoring test result-QRISK',0
4,372,Diagnostic Tests,Scoring test result,QRISK WEBSITE,4,372-Diagnostic Tests-Scoring test result-QRISK WEBSITE,0
2,372,Diagnostic Tests,Scoring test result,QRISK TOOL,4,372-Diagnostic Tests-Scoring test result-QRISK TOOL,0
1,372,Diagnostic Tests,Scoring test result,QRISK SCORING,4,372-Diagnostic Tests-Scoring test result-QRISK SCORING,0
2,372,Diagnostic Tests,Scoring test result,QRISK SCORE,4,372-Diagnostic Tests-Scoring test result-QRISK SCORE,0
1,372,Diagnostic Tests,Scoring test result,QRISK ON LINE,4,372-Diagnostic Tests-Scoring test result-QRISK ON LINE,0
1,372,Diagnostic Tests,Scoring test result,QRISK ESTIMAT,4,372-Diagnostic Tests-Scoring test result-QRISK ESTIMAT,0
1,372,Diagnostic Tests,Scoring test result,QRISK CVD 10,4,372-Diagnostic Tests-Scoring test result-QRISK CVD 10,0
1,372,Diagnostic Tests,Scoring test result,QRISK CALCULL,4,372-Diagnostic Tests-Scoring test result-QRISK CALCULL,0
1,372,Diagnostic Tests,Scoring test result,QRISK CALCULA,4,372-Diagnostic Tests-Scoring test result-QRISK CALCULA,0
2,372,Diagnostic Tests,Scoring test result,QRISK CALC,4,372-Diagnostic Tests-Scoring test result-QRISK CALC,0
1,372,Diagnostic Tests,Scoring test result,QRISK 3 CALC,4,372-Diagnostic Tests-Scoring test result-QRISK 3 CALC,0
1,372,Diagnostic Tests,Scoring test result,QRISK 3 -2017,4,372-Diagnostic Tests-Scoring test result-QRISK 3 -2017,0
8,372,Diagnostic Tests,Scoring test result,QRISK 3,4,372-Diagnostic Tests-Scoring test result-QRISK 3,0
1,372,Diagnostic Tests,Scoring test result,QRISK 2017,4,372-Diagnostic Tests-Scoring test result-QRISK 2017,0
2,372,Diagnostic Tests,Scoring test result,QRISK 2016,4,372-Diagnostic Tests-Scoring test result-QRISK 2016,0
1,372,Diagnostic Tests,Scoring test result,QRISK 2015,4,372-Diagnostic Tests-Scoring test result-QRISK 2015,0
1,372,Diagnostic Tests,Scoring test result,QRISK 2014,4,372-Diagnostic Tests-Scoring test result-QRISK 2014,0
2,372,Diagnostic Tests,Scoring test result,QRISK 2012,4,372-Diagnostic Tests-Scoring test result-QRISK 2012,0
1,372,Diagnostic Tests,Scoring test result,QRISK 2 TOOL,4,372-Diagnostic Tests-Scoring test result-QRISK 2 TOOL,0
2,372,Diagnostic Tests,Scoring test result,QRISK 2 CALC,4,372-Diagnostic Tests-Scoring test result-QRISK 2 CALC,0
1,372,Diagnostic Tests,Scoring test result,QRISK 2 2016,4,372-Diagnostic Tests-Scoring test result-QRISK 2 2016,0
78,372,Diagnostic Tests,Scoring test result,QRISK 2,4,372-Diagnostic Tests-Scoring test result-QRISK 2,0
1,372,Diagnostic Tests,Scoring test result,QRISK 10,4,372-Diagnostic Tests-Scoring test result-QRISK 10,0
1,372,Diagnostic Tests,Scoring test result,QRISK 1,4,372-Diagnostic Tests-Scoring test result-QRISK 1,0
1,372,Diagnostic Tests,Scoring test result,QRISK -2,4,372-Diagnostic Tests-Scoring test result-QRISK -2,0
1,372,Diagnostic Tests,Scoring test result,QRISK %,4,372-Diagnostic Tests-Scoring test result-QRISK %,0
13612,372,Diagnostic Tests,Scoring test result,QRISK,4,372-Diagnostic Tests-Scoring test result-QRISK,4235821
1,372,Diagnostic Tests,Scoring test result,QRISIK,4,372-Diagnostic Tests-Scoring test result-QRISIK,0
1,372,Diagnostic Tests,Scoring test result,QRISFRACTURE,4,372-Diagnostic Tests-Scoring test result-QRISFRACTURE,0
1,372,Diagnostic Tests,Scoring test result,QRIS2,4,372-Diagnostic Tests-Scoring test result-QRIS2,0
1,372,Diagnostic Tests,Scoring test result,QRIS,4,372-Diagnostic Tests-Scoring test result-QRIS,0
1,372,Diagnostic Tests,Scoring test result,QRIK2,4,372-Diagnostic Tests-Scoring test result-QRIK2,0
1,372,Diagnostic Tests,Scoring test result,QRICK2,4,372-Diagnostic Tests-Scoring test result-QRICK2,0
1,372,Diagnostic Tests,Scoring test result,QRFIK2,4,372-Diagnostic Tests-Scoring test result-QRFIK2,0
9,372,Diagnostic Tests,Scoring test result,QRE,4,372-Diagnostic Tests-Scoring test result-QRE,0
4,372,Diagnostic Tests,Scoring test result,QR2,4,372-Diagnostic Tests-Scoring test result-QR2,0
1,372,Diagnostic Tests,Scoring test result,QR CALCULATOR,4,372-Diagnostic Tests-Scoring test result-QR CALCULATOR,0
18,372,Diagnostic Tests,Scoring test result,QR,4,372-Diagnostic Tests-Scoring test result-QR,0
1,372,Diagnostic Tests,Scoring test result,QQQ,4,372-Diagnostic Tests-Scoring test result-QQQ,0
1,372,Diagnostic Tests,Scoring test result,QQ,4,372-Diagnostic Tests-Scoring test result-QQ,0
1,372,Diagnostic Tests,Scoring test result,QOF,4,372-Diagnostic Tests-Scoring test result-QOF,0
1,372,Diagnostic Tests,Scoring test result,QNR,4,372-Diagnostic Tests-Scoring test result-QNR,0
1,372,Diagnostic Tests,Scoring test result,QNE,4,372-Diagnostic Tests-Scoring test result-QNE,0
31,372,Diagnostic Tests,Scoring test result,QNAIRRE,4,372-Diagnostic Tests-Scoring test result-QNAIRRE,0
1,372,Diagnostic Tests,Scoring test result,QNAIRE,4,372-Diagnostic Tests-Scoring test result-QNAIRE,0
4,372,Diagnostic Tests,Scoring test result,QMAX,4,372-Diagnostic Tests-Scoring test result-QMAX,0
1,372,Diagnostic Tests,Scoring test result,QMAS,4,372-Diagnostic Tests-Scoring test result-QMAS,0
3,372,Diagnostic Tests,Scoring test result,QIRSK,4,372-Diagnostic Tests-Scoring test result-QIRSK,0
84,372,Diagnostic Tests,Scoring test result,QINTERVENTION,4,372-Diagnostic Tests-Scoring test result-QINTERVENTION,0
1,372,Diagnostic Tests,Scoring test result,QINTERVENION,4,372-Diagnostic Tests-Scoring test result-QINTERVENION,0
1,372,Diagnostic Tests,Scoring test result,QHQ-9,4,372-Diagnostic Tests-Scoring test result-QHQ-9,0
1,372,Diagnostic Tests,Scoring test result,QFRAX,4,372-Diagnostic Tests-Scoring test result-QFRAX,
2,372,Diagnostic Tests,Scoring test result,QFRACTURE2013,4,372-Diagnostic Tests-Scoring test result-QFRACTURE2013,0
5,372,Diagnostic Tests,Scoring test result,QFRACTURE RIS,4,372-Diagnostic Tests-Scoring test result-QFRACTURE RIS,0
42,372,Diagnostic Tests,Scoring test result,QFRACTURE,4,372-Diagnostic Tests-Scoring test result-QFRACTURE,0
1,372,Diagnostic Tests,Scoring test result,QFRACTRURE,4,372-Diagnostic Tests-Scoring test result-QFRACTRURE,0
2,372,Diagnostic Tests,Scoring test result,QFRACT,4,372-Diagnostic Tests-Scoring test result-QFRACT,0
1,372,Diagnostic Tests,Scoring test result,QFRAC RISK,4,372-Diagnostic Tests-Scoring test result-QFRAC RISK,0
13,372,Diagnostic Tests,Scoring test result,QFRAC,4,372-Diagnostic Tests-Scoring test result-QFRAC,0
1,372,Diagnostic Tests,Scoring test result,QFRA RISK,4,372-Diagnostic Tests-Scoring test result-QFRA RISK,0
1,372,Diagnostic Tests,Scoring test result,QF RISK,4,372-Diagnostic Tests-Scoring test result-QF RISK,0
2,372,Diagnostic Tests,Scoring test result,QF #RISK,4,372-Diagnostic Tests-Scoring test result-QF #RISK,0
5,372,Diagnostic Tests,Scoring test result,QF # RISK,4,372-Diagnostic Tests-Scoring test result-QF # RISK,0
1,372,Diagnostic Tests,Scoring test result,QESTIONAIRE,4,372-Diagnostic Tests-Scoring test result-QESTIONAIRE,0
1,372,Diagnostic Tests,Scoring test result,QES,4,372-Diagnostic Tests-Scoring test result-QES,0
1,372,Diagnostic Tests,Scoring test result,QDS,4,372-Diagnostic Tests-Scoring test result-QDS,0
1,372,Diagnostic Tests,Scoring test result,QDIABETES,4,372-Diagnostic Tests-Scoring test result-QDIABETES,0
1,372,Diagnostic Tests,Scoring test result,QDDM2,4,372-Diagnostic Tests-Scoring test result-QDDM2,0
1,372,Diagnostic Tests,Scoring test result,QCANCER,4,372-Diagnostic Tests-Scoring test result-QCANCER,0
15,372,Diagnostic Tests,Scoring test result,QAIRE,4,372-Diagnostic Tests-Scoring test result-QAIRE,0
309734,372,Diagnostic Tests,Scoring test result,QADMISSIONS,4,372-Diagnostic Tests-Scoring test result-QADMISSIONS,0
1,372,Diagnostic Tests,Scoring test result,QAB,4,372-Diagnostic Tests-Scoring test result-QAB,0
1,372,Diagnostic Tests,Scoring test result,Q9,4,372-Diagnostic Tests-Scoring test result-Q9,0
