count,provcat,description,higher-level category
6,3374,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
11,7254,PEDIATRIC GASTROENTEROLOGIST,GASTROENTEROLOGY
339,3998,ADULT FOSTER CARE,COMMUNITY SUPPORT SERVICES
37,5894,PEDIATRIC GENERAL SURGEON,GENERAL SURGERY
70,1148,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
1,4037,GENERAL SURGEON - TRAUMA SPECIALIST,GENERAL SURGERY
190,3140,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
9,2486,CLINICAL SOCIAL WORKER,SOCIAL WORKER
67,2693,GENERAL DENTIST,DENTIST
6,1908,CARDIOVASCULAR SURGEON,VASCULAR SURGERY
74,2285,PEDIATRICIAN,PEDIATRICS
7,6092,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
5,1795,PATHOLOGIST,PATHOLOGY
18,4218,NEUROLOGIST,NEUROLOGY
16,7293,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
3398606,0097,PHARMACY,PHARMACY
2875034,6015,PSYCHIATRIST,PSYCHIATRY
16635842,5727,PEDIATRICIAN,PEDIATRICS
63441,5917,PEDIATRIC UROLOGIST,UROLOGY
1486,0970,THORACIC SURGEON,THORACIC SURGERY
273,0703,OTOLOGIST,OTOLARYNGOLOGY
17463,2202,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
53261,1672,MASTER OF SOCIAL WORK,SOCIAL WORKER
99,5746,THORACIC/CARDIOVASCULAR SURGEON,THORACIC SURGERY
914,1150,MASTER OF SOCIAL WORK,SOCIAL WORKER
3510,1145,OPHTHALMOLOGIST,OPHTHALMOLOGY
12906,4644,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
103,2230,NUTRITIONIST,NUTRITIONIST
268,0539,GENETICIST,GENETICS
1695,0721,MEDICAL MICROBIOLOGIST,PATHOLOGY
433,1263,RHEUMATOLOGIST,RHEUMATOLOGY
6406,2626,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
1950,3955,HABILITATION AGENCY,COMMUNITY SUPPORT SERVICES
150,6919,ANESTHESIOLOGIST,ANESTHESIOLOGY
164,2683,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
1739,2221,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
94,3725,PEDIATRIC OCCUPATIONAL THERAPY,OCCUPATIONAL THERAPY PROVIDER
53,3388,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
169,0588,INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
5,1326,OPTICIAN,OPTICIAN/OPTOMETRIST
52,2387,PEDIATRIC NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
18,2800,ENDOCRINOLOGIST,ENDOCRINOLOGY
71,3946,UNKNOWN PROVIDER TYPE,UNKNOWN
8,3408,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
6,3178,ORAL PATHOLOGIST,PATHOLOGY
1,5730,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
10174931,3916,RURAL HEALTH CLINIC,CLINIC/DAY CARE FACILITIES
5569444,5988,SURGICAL ASSISTANT (NON-PHYS),OTHER NON-PHYSICIAN PROVIDER
417555,0457,URGENT CARE SPECIALIST,EMERGENCY MEDICINE
322490,0897,NUCLEAR MEDICINE SPECIALIST,RADIOLOGY
142524,0728,ANATOMICAL/CLINICAL PATHOLOGIST,PATHOLOGY
633,1302,REGISTERED NURSE,REGISTERED NURSE
53967,1361,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
113243,2157,CLINICAL SOCIAL WORKER,SOCIAL WORKER
5712,2162,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
69453,1135,CARDIOLOGIST,CARDIOLOGY
18137,2166,REGISTERED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
1121020,4137,VA MEDICAL CLINIC,CLINIC/DAY CARE FACILITIES
5146,0664,LEGAL MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
1036,3600,PHARMACIST,PHARMACY
7628,0162,ENDODONTIST,ENDODONTIST
298,5681,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
2729,2227,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
3,1447,OTHER MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
52,2463,CLINICAL SOCIAL WORKER,SOCIAL WORKER
2,1722,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
935089,0718,DERMATOPATHOLOGIST,PATHOLOGY
6936063,5773,PSYCHIATRIC HOSPITAL,SPECIALTY ACUTE-CARE HOSPITAL
1134386,0109,CHIROPRACTOR,CHIROPRACTOR
1944,0551,GERIATRIC MEDICINE SPECIALIST,GERIATRIC MEDICINE
32133,2145,CLINICAL SOCIAL WORKER,SOCIAL WORKER
6380,0734,CLINICAL PATHOLOGIST,PATHOLOGY
359,1607,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
4291,3591,BLOOD BANKING/TRANSFUSION SERVICES,BLOOD SERVICES CENTER
8959,1137,NEUROLOGIST,NEUROLOGY
164,1543,HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
2777,1787,CHIROPRACTOR,CHIROPRACTOR
86,2756,REGISTERED NURSE,REGISTERED NURSE
31,4249,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
154,5778,GERIATRIC MEDICINE SPECIALIST,GERIATRIC MEDICINE
39,5864,PEDIATRIC EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
49,3573,RHEUMATOLOGIST,RHEUMATOLOGY
15,2535,ADDICTION MEDICINE SPECIALIST,ADDICTION MEDICINE SPECIALIST
92,6262,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
45,1733,SUBSTANCE ABUSE SERVICES,ADDICTION MEDICINE SPECIALIST
30,4193,PHYSICAL THERAPIST - MOVEMENT DISORDERS,PHYSICAL THERAPY PROVIDER
111,2982,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
22,1157,PROCTOLOGIST,GASTROENTEROLOGY
2,7465,SUBSTANCE ABUSE SERVICES,ADDICTION MEDICINE SPECIALIST
15,3953,GENERAL DENTIST,DENTIST
1,3910,EARLY INTERVENTION,OTHER PHYSICIAN SPECIALTY
15,3975,ASSISTED CARE LIVING FACILITY - HOME,COMMUNITY SUPPORT SERVICES
10911186,0062,X-RAY/RADIOLOGY FACILITY,INDEPENDENT RADIOLOGY
51103,0701,OTOLARYNGOLOGIST,OTOLARYNGOLOGY
9696,0006,OSTEOPATHIC HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
65157,0841,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
4656,0093,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
169,2131,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
2826,2239,NUTRITIONIST,NUTRITIONIST
3479,2172,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
5597,1149,PATHOLOGIST,PATHOLOGY
1178,0255,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
3172,5361,ANESTHESIOLOGIST ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
67,0460,ENDOCRINOLOGIST,ENDOCRINOLOGY
220,2772,REGISTERED NURSE,REGISTERED NURSE
28,2383,OPTOMETRIST,OPTICIAN/OPTOMETRIST
23,3824,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
517,1180,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
2,1372,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
26,1198,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
9,1613,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
26,5726,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
2,5833,PSYCHIATRIST,PSYCHIATRY
46,3969,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
2,2037,CHIROPRACTOR,CHIROPRACTOR
81,0550,GERIATRIC MEDICINE SPECIALIST,GERIATRIC MEDICINE
6,7255,MATERNAL & FETAL MEDICINE SPECIALIST,OBSTETRICS
22279819,0893,PULMONARY DISEASE SPECIALIST,PULMONARY MEDICINE
908777,5853,ENDOCRINOLOGIST,ENDOCRINOLOGY
655564,5890,ALLERGIST,ALLERGY & IMMUNOLOGY
450867,0705,PEDIATRIC OTOLARYNGOLOGIST,OTOLARYNGOLOGY
728119,5961,CASE MANAGEMENT AGENCY,COMMUNITY SUPPORT SERVICES
2806250,0549,GERIATRIC MEDICINE SPECIALIST,GERIATRIC MEDICINE
153744,3255,FEDERAL QUALIFIED HEALTH CTR,CLINIC/DAY CARE FACILITIES
21022,0787,SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
28763,1113,GENERAL PRACTITIONER,FAMILY PRACTICE
4632,0647,ORTHOPEDIC SURGEON - HAND SPECIALIST,ORTHOPEDICS
683101,0975,CAPITATION NETWORK,UNKNOWN SPECIALTY PHYSICIAN
241885,0073,HOME HEALTH AGENCY- HOME HEALTH AIDE,HOME HEALTH AGENCY
33047,6059,PERSONAL CARE AID,OTHER NON-PHYSICIAN PROVIDER
208,0846,PSYCHIATRIST - ADDICTION SPECIALIST,PSYCHIATRY
794,5703,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
1266,3380,OPTOMETRIST,OPTICIAN/OPTOMETRIST
11294,0951,THERAPEUTIC RADIOLOGIST,THERAPEUTIC RADIOLOGY
710,0154,MASTER OF SOCIAL WORK,SOCIAL WORKER
1789,2488,PSYCHOANALYST,CLINICAL PSYCHOLOGY
22,5882,ANESTHESIOLOGIST ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
1004,2717,SLEEP STUDY,OTHER PHYSICIAN SPECIALTY
2514,0086,HOME IV THERAPY PROVIDER,HOME HEALTH CARE
144,3444,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
263,2519,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
13,1816,PULMONARY DISEASE SPECIALIST,PULMONARY MEDICINE
39,5721,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
129,1793,CHIROPRACTOR,CHIROPRACTOR
1296,2673,CLINICAL SOCIAL WORKER,SOCIAL WORKER
4,1212,INTERVENTIONAL CARDIOLOGY,CARDIOLOGY
2,1107,CARDIAC REHABILITATION,CARDIOLOGY
1213065,0355,PEDIATRIC SPECIALIST,PEDIATRICS
21634476,0141,PODIATRIST - NON-MD,PODIATRIST - NON-MD
1092624,0043,CLINIC,CLINIC/DAY CARE FACILITIES
814900,5676,MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
57345,0259,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
34453,0492,PEDIATRIC GASTROENTEROLOGIST,GASTROENTEROLOGY
623419,5336,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
9841,1574,SURGICAL ASSISTANT (NON-PHYS),OTHER NON-PHYSICIAN PROVIDER
9881,2415,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
516,5757,PSYCHIATRIST,PSYCHIATRY
1159,4302,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
489,0830,PUBLIC HEALTH/PREVENTIVE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
730,1356,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
25,1222,OPTOMETRIST,OPTICIAN/OPTOMETRIST
194,2793,NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
158,2217,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
1140,2443,OPTOMETRIST,OPTICIAN/OPTOMETRIST
12,1558,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
271,2327,PHYSICAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
11,3819,GENERAL SURGEON - ORAL & MAXILOFACIAL SPECIALIST,GENERAL SURGERY
16,2526,CLINICAL SOCIAL WORKER,SOCIAL WORKER
4,2990,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
1,6961,UNKNOWN PROVIDER TYPE,UNKNOWN
1107207,0843,CHILD & ADOLESCENT PSYCHIATRIST,PSYCHIATRY
5331085,5993,DERMATOLOGIST,DERMATOLOGY
851359,0967,THORACIC SURGEON,THORACIC SURGERY
101704,0090,VOLUNTEER/CHARITABLE ORGANIZATION,UNKNOWN
2289749,0426,CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
810971,1365,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
51617,5998,INTERNAL MEDICINE SPECIALIST,INTERNAL MEDICINE
2949,4386,CERTIFIED SURGICAL ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
17267,0619,NEUROLOGIST,NEUROLOGY
46236,1699,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
7065,0385,IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
7834,4645,GENERAL PRACTITIONER,FAMILY PRACTICE
33433,3194,PEDIATRIC OCCUPATIONAL THERAPY,OCCUPATIONAL THERAPY PROVIDER
3090,1767,CLINICAL SOCIAL WORKER,SOCIAL WORKER
94,4396,CERTIFIED SURGICAL ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
357,3274,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
729,3316,MASTER OF SOCIAL WORK,SOCIAL WORKER
60,0350,DEVELOPMENTAL PEDIATRIC SPECIALIST,PEDIATRICS
109,6155,ABDOMINAL GENERAL SURGEON,GENERAL SURGERY
146,3286,EARLY INTERVENTION,OTHER PHYSICIAN SPECIALTY
931,4146,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
272,7221,PHYSICIAN NUTRITION SPECIALIST,OTHER PHYSICIAN SPECIALTY
6,0506,GENERAL SURGEON - HEAD AND NECK SPECIALIST,GENERAL SURGERY
217,2355,REGISTERED NURSE,REGISTERED NURSE
17,0687,MEDICAL TOXICOLOGIST,OTHER PHYSICIAN SPECIALTY
2,3927,HEARING INSTRUMENT SPECIALIST,HEARING INSTRUMENT SPECIALIST
3,3558,HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
58064667,0644,ORTHOPEDIC SURGEON,ORTHOPEDICS
14309472,0570,MEDICAL ONCOLOGIST,HEMATOLOGY & ONCOLOGY
3008004,0605,NEURO-SURGEON,NEUROLOGICAL SURGERY
169288,0817,GENERAL PREVENTIVE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
46036,5886,DEVELOPMENTAL PEDIATRIC SPECIALIST,PEDIATRICS
733984,0108,CHIROPRACTOR,CHIROPRACTOR
13381,0332,GENERAL PRACTITIONER,FAMILY PRACTICE
7257,0824,GENERAL PREVENTIVE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
3121,4815,PERIODONTIST,PERIODONTIST
25070,6032,NUTRITIONIST,NUTRITIONIST
3581,1665,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
76522,5899,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
124,2503,REGISTERED NURSE,REGISTERED NURSE - PRACTITIONER
880,1521,OSTEOPATHIC MANIPULATIVE MEDICINE SPECIALIST,OSTEOPATHY
26238,5626,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
2125,2439,PSYCHIATRIST,PSYCHIATRY
651,0354,PEDIATRIC SPECIALIST,PEDIATRICS
204,7181,AUDIOLOGIST,AUDIOLOGIST
610,1798,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
732,3210,OUTPATIENT DIAGNOSTIC TREATMENT,RADIOLOGY
175,3482,BACHELOR OF SCIENCE,OTHER NON-PHYSICIAN PROVIDER
30,1518,EXTENDED CARE FACILITY,EXTENDED CARE FACILITIES
181,0684,MEDICAL DIRECTOR,OTHER PHYSICIAN SPECIALTY
3,5889,PEDIATRIC GENERAL SURGEON,GENERAL SURGERY
3,0326,GENERAL PRACTICE SPECIALIST,FAMILY PRACTICE
41,2979,NEUROLOGIST - NEUROMETRICS,NEUROLOGY
68,5608,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
31,5627,AUTISM TUTOR,MENTAL HEALTH PROFESSIONAL
14,2237,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
69748919,0761,PATHOLOGIST,PATHOLOGY
44725,6014,PEDIATRIC ALLERGIST & IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
134461,1265,GENERAL SURGEON - ORAL & MAXILOFACIAL SPECIALIST,GENERAL SURGERY
9063,0476,GASTROENTEROLOGIST,GASTROENTEROLOGY
58569,5952,PEDIATRIC HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
57329,1674,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
1894,1655,PEDIATRIC REHABILITATION MEDICINE,PEDIATRICS
902,5971,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
6609,2333,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
2223,5326,CHILD PSYCHOLOGIST,CLINICAL PSYCHOLOGY
108,1667,PSYCHOANALYST,CLINICAL PSYCHOLOGY
106,3294,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
1687,2154,CLINICAL SOCIAL WORKER,SOCIAL WORKER
163,1805,REGISTERED NURSE,REGISTERED NURSE
162,2947,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
6,2328,OPTICIAN,OPTICIAN/OPTOMETRIST
10,1218,PEDIATRIC REHABILITATION MEDICINE,PEDIATRICS
6,2282,ORTHOPEDIC SURGEON,ORTHOPEDICS
3,1989,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
1,5662,CERTIFIED ASTHMA EDUCATOR,OTHER NON-PHYSICIAN PROVIDER
7,2467,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
148964,5671,GENERAL SURGEON - ORAL & MAXILOFACIAL SPECIALIST,GENERAL SURGERY
396680,0207,PSYCHOLOGIST,CLINICAL PSYCHOLOGY
6870,4876,INTERNAL MEDICINE SPECIALIST,INTERNAL MEDICINE
29785,0055,INDEPENDENT LABORATORY,INDEPENDENT LABORATORY
1298,1646,FAMILY PRACTITIONER,FAMILY PRACTICE
20494,0133,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
231842,3843,ATTENDANT CARE AGENCY,COMMUNITY SUPPORT SERVICES
430,1131,GASTROENTEROLOGIST,GASTROENTEROLOGY
804,5733,REGISTERED NURSE,REGISTERED NURSE
58072,0009,PEDIATRIC HOSPITAL,SPECIALTY ACUTE-CARE HOSPITAL
472,3211,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
1282,0778,PEDIATRIC SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
3056,1324,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
707,2170,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
103,4382,LICENSED VOCATIONAL NURSE,REGISTERED NURSE
161,3132,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
140,1027,PLASTIC SURGEON - HEAD & NECK,PLASTIC & RECONSTRUCTIVE SURGERY
94,2038,EXTENDED CARE FACILITY,EXTENDED CARE FACILITIES
67,5816,NEUROLOGIST,NEUROLOGY
177,3578,PHARMACIST,PHARMACY
109,2300,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
68,1691,ANATOMICAL/CLINICAL PATHOLOGIST,PATHOLOGY
8,3391,ADDICTION MEDICINE SPECIALIST,ADDICTION MEDICINE SPECIALIST
2,1527,MEDICAL TOXICOLOGIST,OTHER PHYSICIAN SPECIALTY
14,1383,DEVELOPMENTAL PEDIATRIC SPECIALIST,PEDIATRICS
7,4267,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
2,2877,ANATOMICAL/CLINICAL PATHOLOGIST,PATHOLOGY
60083789,0402,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
10492891,0134,OTHER NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
7436579,5996,RADIOLOGIST,RADIOLOGY
571972,1580,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
10692,0462,ENDOCRINOLOGIST,ENDOCRINOLOGY
10322,0719,FORENSIC PATHOLOGIST,PATHOLOGY
42008,1127,FAMILY PRACTITIONER,FAMILY PRACTICE
1373,1009,VASCULAR SURGEON,VASCULAR SURGERY
13739,2316,PEDIATRIC REHABILITATION MEDICINE,PEDIATRICS
1005,7085,MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
325,2276,REGISTERED NURSE,REGISTERED NURSE
40,7007,MATERNAL & FETAL MEDICINE SPECIALIST,OBSTETRICS
1173,4034,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
285,2096,LACTATION SPECIALIST,OTHER NON-PHYSICIAN PROVIDER
92,3939,PEST CONTROL COMPANY,COMMUNITY SUPPORT SERVICES
33,1831,PEDIATRIC NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
210,2421,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
23,1271,PEDIATRIC PULMONARY DISEASE SPECIALIST,PULMONARY MEDICINE
76,2555,MARRIAGE AND FAMILY SOCIAL WORKER,SOCIAL WORKER
300,1694,GENERAL PRACTITIONER,FAMILY PRACTICE
19,0471,GASTROENTEROLOGIST - DIGESTIVE DISEASES SPECIALIST,GASTROENTEROLOGY
2,7466,MEDICAL GENETICIST,GENETICS
12,2651,OBSTETRICIAN,OBSTETRICS
10,5673,ANESTHESIOLOGIST ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
5,2718,CLINICAL GENETICIST,GENETICS
24,1398,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
9,1850,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
60,2625,RHEUMATOLOGIST,RHEUMATOLOGY
107666862,0001,GENERAL HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
10366384,0003,HOSPITAL NON-PAR IN AREA HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
1750018,0053,INDEPENDENT LABORATORY,INDEPENDENT LABORATORY
317826,4101,HEPATOLOGY-LIVER DISEASE,GASTROENTEROLOGY
2347,1292,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
3504,1160,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
521,1837,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
560,0184,PROSTHODONTIST,PROSTHODONTIST
2198,1183,AEROSPACE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
614,2174,CLINICAL SOCIAL WORKER,SOCIAL WORKER
66,2491,CLINICAL SOCIAL WORKER,SOCIAL WORKER
318,3089,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
6,5738,THORACIC SURGEON,THORACIC SURGERY
244,3459,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
7,3423,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
206,3833,ADOLESCENT MEDICINE SPECIALIST,PEDIATRICS
115,0963,CARDIOTHORACIC SURGEON,THORACIC SURGERY
17,1736,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
20,1857,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
1,1996,CRISIS DIVERSION,SOCIAL WORKER
2,1981,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
1195919668,1264,GENERAL HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
78235039,5997,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
4828140,5867,OPTOMETRIST,OPTICIAN/OPTOMETRIST
257645,0516,PEDIATRIC GENERAL SURGEON,GENERAL SURGERY
3407432,4270,FEDERALLY QUALIFIED HEALTHCARE CENTER,CLINIC/DAY CARE FACILITIES
16590,0185,PROSTHODONTIST,PROSTHODONTIST
85543,0411,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
1197,1280,ENDODONTIST,ENDODONTIST
2635,0937,PEDIATRIC RHEUMATOLOGIST,RHEUMATOLOGY
8457,1911,FORENSIC PSYCHIATRY,PSYCHIATRY
1847,1242,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
190,0627,PEDIATRIC NEUROLOGIST,NEUROLOGY
164,0752,NEUROPATHOLOGIST,PATHOLOGY
144,4068,EARLY INTERVENTION,OTHER PHYSICIAN SPECIALTY
255,3393,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
667,1140,PASTORAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
42,1048,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
16,0907,MRI RADIOLOGIST,RADIOLOGY
355,2866,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
345,0098,PHARMACY,PHARMACY
1,5806,PEDIATRIC NEUROLOGIST,NEUROLOGY
20,0567,HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
45,1387,CHILD & ADOLESCENT PSYCHIATRIST,PSYCHIATRY
23,2482,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
34,2842,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
1,2518,DEVELOPMENTAL PEDIATRIC SPECIALIST,PEDIATRICS
57,1768,INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
7,4362,FAMILY PRACTITIONER,FAMILY PRACTICE
35223605,0121,OPTOMETRIST,OPTICIAN/OPTOMETRIST
312331,0579,SURGICAL ONCOLOGIST,HEMATOLOGY & ONCOLOGY
1198818,6001,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
932803,0593,NEONATOLOGIST,NEONATOLOGY
59612,0524,CLINICAL GENETICIST,GENETICS
800,0514,GENERAL SURGEON - TRAUMA SPECIALIST,GENERAL SURGERY
448,2255,FORENSIC PATHOLOGIST,PATHOLOGY
111,1769,ANESTHESIOLOGIST,ANESTHESIOLOGY
2113,1465,SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
208,2633,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
216,2265,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
132,4334,AUTISM TUTOR,MENTAL HEALTH PROFESSIONAL
